serial_no,district_name,block_tehsil_name,village_name,unique_id,water_body_name,latitude,longitude,maximum_water_spread_area
5364,Malda,English Bazar,Dariadaha,1/19/316/002935/0313434/025,NA,24.9354292,88.1128615,0.48
22383,Malda,English Bazar,Tiakati,1/19/316/002935/0313423/042,NA,24.9350916,88.1151033,0.24
22386,Malda,English Bazar,Tiakati,1/19/316/002935/0313423/043,,24.9357483,88.1151,0.24
22388,Malda,English Bazar,Tiakati,1/19/316/002935/0313423/044,NA,24.9378101,88.115563,0.36
16264,Malda,English Bazar,Tiakati,1/19/316/002935/0313423/045,NA,24.9382622,88.1168654,0.84
16358,Malda,Chanchal-Ii,Khanpur,1/19/316/002934/0312335/001,NA,25.2852027,88.098589,0.13
20322,Malda,Chanchal-Ii,Khanpur,1/19/316/002934/0312335/002,MANDAL PARA,25.2859048,88.0991925,0.3
19625,Malda,Chanchal-Ii,Khanpur,1/19/316/002934/0312335/003,MANDAL PARA ,25.285825,88.0985283,0.31
20320,Malda,Chanchal-Ii,Khanpur,1/19/316/002934/0312335/004,MANDAL PARA ,25.285995,88.098075,0.22
16930,Malda,Chanchal-Ii,Khanpur,1/19/316/002934/0312335/005,MANDAL PARA ,25.2865867,88.0994071,0.25
16359,Malda,Chanchal-Ii,Khanpur,1/19/316/002934/0312335/006,MANDAL PARA ,25.2865798,88.0985095,0.2
20326,Malda,Chanchal-Ii,Khanpur,1/19/316/002934/0312335/007,MANDAL PARA ,25.2870717,88.0985704,0.33
20324,Malda,Chanchal-Ii,Khanpur,1/19/316/002934/0312335/008,MANDAL PARA ,25.2870975,88.098522,0.25
20327,Malda,Chanchal-Ii,Khanpur,1/19/316/002934/0312335/009,MANDAL PARA ,25.2871815,88.0983404,0.21
19626,Malda,Chanchal-Ii,Khanpur,1/19/316/002934/0312335/010,MANDAL PARA ,25.2877041,88.0998814,0.25
16362,Malda,Chanchal-Ii,Khanpur,1/19/316/002934/0312335/011,MANDAL PARA ,25.2877276,88.0999596,0.3
16357,Malda,Chanchal-Ii,Khanpur,1/19/316/002934/0312335/012,MANDAL PARA ,25.28853,88.0986717,0.11
16361,Malda,Chanchal-Ii,Khanpur,1/19/316/002934/0312335/013,MANDAL PARA ,25.2885684,88.098665,0.16
16923,Malda,Chanchal-Ii,Khanpur,1/19/316/002934/0312335/014,MANDAL PARA ,25.2885837,88.0985614,0.12
20330,Malda,Chanchal-Ii,Khanpur,1/19/316/002934/0312335/015,MANDAL PARA ,25.2886063,88.0997857,0.3
16360,Malda,Chanchal-Ii,Khanpur,1/19/316/002934/0312335/017,MAKDAMPUR ,25.2954083,88.1027833,0.7
16363,Malda,Chanchal-Ii,Khanpur,1/19/316/002934/0312335/018,MAKDAMPUR ,25.2963883,88.103385,0.52
16905,Malda,Chanchal-Ii,Khanpur,1/19/316/002934/0312335/019,MAKDAMPUR ,25.2955318,88.1027102,0.18
19629,Malda,Chanchal-Ii,Khanpur,1/19/316/002934/0312335/020,BADH ROAD ,25.297135,88.098615,0.22
11960,Malda,English Bazar,Purana Guamalati,1/19/316/002935/0313424/006,NA,24.9405233,88.11181,2.2
3852,Malda,English Bazar,Purana Guamalati,1/19/316/002935/0313424/007,NA,24.9389536,88.1145958,0.54
3871,Malda,English Bazar,Purana Guamalati,1/19/316/002935/0313424/008,NA,24.9396367,88.11436,0.49
24246,Malda,Ratua-I,Gouripur,1/19/316/002945/0312413/001,AMJAD PUKUR,25.1926857,87.9984656,1.4
5558,Malda,English Bazar,Purana Guamalati,1/19/316/002935/0313424/009,NA,24.940589,88.1142592,0.7
11589,Malda,English Bazar,Purana Guamalati,1/19/316/002935/0313424/010,NA,24.9428683,88.1148332,0.35
21119,Malda,Ratua-I,Gouripur,1/19/316/002945/0312413/002,SAMSUL HOQUE,25.1956183,88.0022283,2.7
5564,Malda,English Bazar,Purana Guamalati,1/19/316/002935/0313424/011,NA,24.9444168,88.1142131,1.2
3379,Malda,English Bazar,Purana Guamalati,1/19/316/002935/0313424/012,NA,24.9444599,88.11547,0.3
10326,Malda,English Bazar,Purana Guamalati,1/19/316/002935/0313424/013,NA,24.946517,88.1154969,0.15
19434,Malda,Ratua-I,Gouripur,1/19/316/002945/0312413/003,KORIM,25.2003633,88.0001767,1.5
3421,Malda,English Bazar,Purana Guamalati,1/19/316/002935/0313424/014,NA,24.9400665,88.1097308,0.36
5574,Malda,English Bazar,Purana Guamalati,1/19/316/002935/0313424/015,NA,24.9427135,88.1103155,0.18
11959,Malda,English Bazar,Purana Guamalati,1/19/316/002935/0313424/016,NA,24.9434933,88.111,0.5
3433,Malda,English Bazar,Purana Guamalati,1/19/316/002935/0313424/017,NA,24.9457534,88.1108309,0.24
11587,Malda,English Bazar,Purana Guamalati,1/19/316/002935/0313424/019,NA,24.9472217,88.1129749,0.56
7491,Malda,Chanchal-Ii,Sadarpur,1/19/316/002934/0312253/002,C C ROAD,25.3694843,87.9735101,1
7488,Malda,Chanchal-Ii,Sadarpur,1/19/316/002934/0312253/003,,25.3693804,87.9739417,0.8
7276,Malda,Chanchal-Ii,Sadarpur,1/19/316/002934/0312253/004,,25.369173,87.9746218,0.32
7275,Malda,Chanchal-Ii,Sadarpur,1/19/316/002934/0312253/005,,25.370256,87.973191,0.5
4391,Malda,Chanchal-Ii,Sadarpur,1/19/316/002934/0312253/006,KACHA RASTA ,25.3725658,87.9720585,1
7487,Malda,Chanchal-Ii,Sadarpur,1/19/316/002934/0312253/007,KACHA RASTA ,25.3725034,87.9719402,0.6
7486,Malda,Chanchal-Ii,Sadarpur,1/19/316/002934/0312253/008,KACHA RASTA ,25.3721296,87.971746,0.5
7485,Malda,Chanchal-Ii,Sadarpur,1/19/316/002934/0312253/009,KACHA RASTA ,25.3748592,87.9702319,0.5
7484,Malda,Chanchal-Ii,Sadarpur,1/19/316/002934/0312253/010,KACHA RASTA ,25.3737808,87.9699038,0.5
21525,Malda,Chanchal-Ii,Uttar Bhabanipur,1/19/316/002934/0312248/001,KACHA RASTA ,25.410445,87.9686561,0.4
20019,Malda,Chanchal-Ii,Uttar Bhabanipur,1/19/316/002934/0312248/002,KACHA RASTA ,25.4078818,87.967554,0.3
