serial_no,district_name,block_tehsil_name,town_municipality_name,ward_name,unique_id,water_body_name,latitude,longitude,maximum_water_spread_area,max_depth_water
686,Purba Bardhaman,,Barddhaman,Barddhaman (M) - Ward No.26,2/19/306/250038/0067210/0012,KAMAR PUKUR,23.2568814,87.8448738,0.9,6
553,Purba Bardhaman,,Barddhaman,Barddhaman (M) - Ward No.25,2/19/306/250038/0067209/0004,ANKAR PUKUR,23.2577146,87.846186,0.56,5
555,Purba Bardhaman,,Barddhaman,Barddhaman (M) - Ward No.26,2/19/306/250038/0067210/0013,USHU PUKUR,23.2579797,87.8462635,0.9,8
527,Purba Bardhaman,,Barddhaman,Barddhaman (M) - Ward No.4,2/19/306/250038/0067188/0001,SOLAPUKUR,23.2571948,87.8436608,0.8,6
532,Purba Bardhaman,,Barddhaman,Barddhaman (M) - Ward No.4,2/19/306/250038/0067188/0002,Dubrajdighi,23.2588121,87.8457847,1.9,10
554,Purba Bardhaman,,Barddhaman,Barddhaman (M) - Ward No.26,2/19/306/250038/0067210/0014,BANGAL PUKUR,23.258807,87.8457254,0.5,5
559,Purba Bardhaman,,Barddhaman,Barddhaman (M) - Ward No.6,2/19/306/250038/0067190/0003,Loko pukur,23.2578106,87.8441632,0.95,7
570,Purba Bardhaman,,Barddhaman,Barddhaman (M) - Ward No.6,2/19/306/250038/0067190/0004,relpukur,23.2578054,87.844171,0.6,5
560,Purba Bardhaman,,Barddhaman,Barddhaman (M) - Ward No.6,2/19/306/250038/0067190/0005,Quater,23.2578148,87.8441825,0.9,5
535,Purba Bardhaman,,Barddhaman,Barddhaman (M) - Ward No.6,2/19/306/250038/0067190/0006,Hunuman pukur,23.2581483,87.846314,0.9,7
571,Purba Bardhaman,,Barddhaman,Barddhaman (M) - Ward No.26,2/19/306/250038/0067210/0015,Tara pukur,23.2581446,87.8463062,0.5,3
568,Purba Bardhaman,,Barddhaman,Barddhaman (M) - Ward No.26,2/19/306/250038/0067210/0016,KAMAL SAGAR TANK,23.2581743,87.8463259,1,7
557,Purba Bardhaman,,Barddhaman,Barddhaman (M) - Ward No.26,2/19/306/250038/0067210/0017,Dadur Pukur,23.256661,87.8443136,0.75,5
569,Purba Bardhaman,,Barddhaman,Barddhaman (M) - Ward No.26,2/19/306/250038/0067210/0018,BAREK PUKUR,23.2566165,87.8438919,0.5,2
567,Purba Bardhaman,,Barddhaman,Barddhaman (M) - Ward No.26,2/19/306/250038/0067210/0019,BAREK PUKUR,23.2564371,87.8438414,0.5,2
589,Purba Bardhaman,,Barddhaman,Barddhaman (M) - Ward No.26,2/19/306/250038/0067210/0020,KALA PUKUR,23.2565251,87.8428128,0.5,2
579,Purba Bardhaman,,Barddhaman,Barddhaman (M) - Ward No.26,2/19/306/250038/0067210/0021,BHATIR,23.2568961,87.8429952,0.75,4
542,Purba Bardhaman,,Barddhaman,Barddhaman (M) - Ward No.26,2/19/306/250038/0067210/0022,BAGDI PUKUR,23.2534205,87.8416472,0.55,3
578,Purba Bardhaman,,Barddhaman,Barddhaman (M) - Ward No.26,2/19/306/250038/0067210/0023,JOLA PUKUR,23.2523267,87.8401821,0.5,2
588,Purba Bardhaman,,Barddhaman,Barddhaman (M) - Ward No.26,2/19/306/250038/0067210/0024,BORO MASJID PUKUR,23.251569,87.8399946,0.55,1
566,Purba Bardhaman,,Barddhaman,Barddhaman (M) - Ward No.26,2/19/306/250038/0067210/0025,MUSIDGORH,23.2520119,87.8398044,0.5,2
582,Purba Bardhaman,,Barddhaman,Barddhaman (M) - Ward No.26,2/19/306/250038/0067210/0026,JULAGARH,23.2520219,87.8389596,0.5,1
577,Purba Bardhaman,,Barddhaman,Barddhaman (M) - Ward No.26,2/19/306/250038/0067210/0027,PANAGORH,23.251683,87.8389491,0.45,0.9
565,Purba Bardhaman,,Barddhaman,Barddhaman (M) - Ward No.26,2/19/306/250038/0067210/0028,SHIBPUKUR,23.2487595,87.8396169,0.75,2
587,Purba Bardhaman,,Barddhaman,Barddhaman (M) - Ward No.26,2/19/306/250038/0067210/0029,BOSER BANDH,23.2536412,87.8390365,0.75,2
576,Purba Bardhaman,,Barddhaman,Barddhaman (M) - Ward No.26,2/19/306/250038/0067210/0030,DIGRIPUKUR,23.2536328,87.8383213,0.5,
724,Purba Bardhaman,,Barddhaman,Barddhaman (M) - Ward No.26,2/19/306/250038/0067210/0031,SONWTALPUKUR,23.2553479,87.8380659,0.95,3
725,Purba Bardhaman,,Barddhaman,Barddhaman (M) - Ward No.26,2/19/306/250038/0067210/0032,MOSJID PUKUR,23.2546745,87.8382399,0.55,1
563,Purba Bardhaman,,Barddhaman,Barddhaman (M) - Ward No.25,2/19/306/250038/0067209/0005,KANTAPOTA MOSJID PUKUR,23.2469193,87.8288062,0.6,3
674,Purba Bardhaman,,Barddhaman,Barddhaman (M) - Ward No.24,2/19/306/250038/0067208/0005,DAS PUKUR,23.2343817,87.819475,0.95,4
680,Purba Bardhaman,,Barddhaman,Barddhaman (M) - Ward No.24,2/19/306/250038/0067208/0006,BANGALPUKUR,23.2350426,87.8222757,0.5,1
573,Purba Bardhaman,,Barddhaman,Barddhaman (M) - Ward No.25,2/19/306/250038/0067209/0006,GOYAR PUKUR,23.2397378,87.8415035,0.6,1
562,Purba Bardhaman,,Barddhaman,Barddhaman (M) - Ward No.25,2/19/306/250038/0067209/0007,THAKUR PUKUR,23.2412231,87.8437681,0.55,1
585,Purba Bardhaman,,Barddhaman,Barddhaman (M) - Ward No.25,2/19/306/250038/0067209/0008,CHANDI PUKUR,23.2408748,87.8439338,0.5,0.75
580,Purba Bardhaman,,Barddhaman,Barddhaman (M) - Ward No.25,2/19/306/250038/0067209/0009,ANKAR PUKUR,23.2419663,87.8421796,0.65,1
572,Purba Bardhaman,,Barddhaman,Barddhaman (M) - Ward No.25,2/19/306/250038/0067209/0010,MALIBAGAN PUKUR,23.2415162,87.8416863,0.9,3
561,Purba Bardhaman,,Barddhaman,Barddhaman (M) - Ward No.25,2/19/306/250038/0067209/0011,PARTHO PUKUR,23.2417859,87.840956,0.5,1
584,Purba Bardhaman,,Barddhaman,Barddhaman (M) - Ward No.25,2/19/306/250038/0067209/0012,MADRASA PUKUR,23.2430721,87.8396787,0.75,3
583,Purba Bardhaman,,Barddhaman,Barddhaman (M) - Ward No.25,2/19/306/250038/0067209/0013,SANTBANDHANO PUKUR,23.2432208,87.8377904,0.6,2
676,Purba Bardhaman,,Barddhaman,Barddhaman (M) - Ward No.25,2/19/306/250038/0067209/0014,BENE PUKUR,23.2474834,87.8323194,0.75,2
